Roster,Time_Out,Origin,Route,Destination,Time_In,Days,Operating Hrs,Layover Hrs,Meal Hrs,Dead Hrs,Operating Dist,Dead Dist,Fuel Cost,Bus Hrs Cost,Tot Roster Cost,Tot Closure Cost,Type
4,10:05,Meal Break Start,MB,Meal Break End,10:35,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
4,11:15,Central Station,43SC,Dapto Station,13:50,Sat 01-Jul-2023,2:35,0:40,,,99.662,0,,,,,
4,14:21,Dapto Station,43SC,Central Station,16:41,Sat 01-Jul-2023,2:20,0:31,,,100.656,0,,,,,
4,16:41,Central Station,43SC,Helensberg,17:40,Sat 01-Jul-2023,,0:00,,0:59,0,57.819,,,,,
4,16:15,Helensberg,43SC,Central Station,17:10,Sat 01-Jul-2023,,0:05,,1:00,0,59.028,,,,,
4,17:15,Central Station,43SC,Dapto Station,19:30,Sat 01-Jul-2023,2:15,0:34,,,99.662,0,,,,,
4,19:31,Meal Break Start,MB,Meal Break End,20:01,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
4,20:22,Dapto Station,43SC,Central Station,22:20,Sat 01-Jul-2023,1:58,0:21,,,100.656,0,,,,,
4,22:25,Central Station,Dead,Helensberg,23:24,Sat 01-Jul-2023,,0:05,,0:59,0,57.819,,,,,
,,,,Roster_Total,19:48,,13:18,2:34,1:00,3:58,600.954,233.694,$531.17 ,"$2,444 ","$2,975.17 ","$13,567.20 ",coach
,,,,,,,,,,,,,,,,,
5,4:11,Helensberg,Dead,Dapto Station,4:46,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
5,4:51,Dapto Station,43SC,Central Station,6:36,Sat 01-Jul-2023,1:45,0:00,,,100.656,0,,,,,
5,6:50,Central Station,43SC,Dapto Station,8:57,Sat 01-Jul-2023,2:07,0:14,,,99.662,0,,,,,
5,8:58,Meal Break Start,MB,Meal Break End,9:28,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
5,9:44,Dapto Station,43SC,Central Station,12:00,Sat 01-Jul-2023,2:16,0:16,,,100.656,0,,,,,
5,12:35,Central Station,43SC,Dapto Station,15:10,Sat 01-Jul-2023,2:35,0:35,,,99.662,0,,,,,
5,15:10,Dapto Station,43SC,Helensberg,15:44,Sat 01-Jul-2023,,0:00,,0:34,0,45.863,,,,,
5,15:02,Helensberg,43SC,Dapto Station,15:32,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
